"GSE_ID","Category","Title","Sample_Count","Platform","Disease_Focus","Quality_Score","Relevance_Score","Power_Score","CAMK2D_Score","Overall_Score","Tier","Recommendation"
"GSE57338","human_heart_failure","Human Heart Failure RNA-seq (Primary Discovery)",313,"RNA-seq","Heart Failure",9,9,10,7.5,8.8,"Tier 1 (Excellent)","Priority for analysis"
"GSE225336","camk2d_specific","Myocardial Fibrosis Genetics - UK Biobank 41,505 p",100,"RNA-seq","Myocardial Fibrosis",10,8,10,8.5,8.8,"Tier 1 (Excellent)","Priority for analysis"
"GSE244117","camk2d_specific","Single-nucleus RNA-seq of Human Atrial Tissue Biop",38,"Single-nucleus RNA-seq","Atrial Fibrillation",9,10,6,9,8.5,"Tier 1 (Excellent)","Priority for analysis"
"GSE5406","human_heart_failure","Human Heart Failure Expression Profiles (Large Coh",210,"Microarray","Heart Failure",9,8,10,7,8.3,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE116250","human_heart_failure","Heart Failure RNA-seq (Etiology-specific)",64,"RNA-seq","Heart Failure",8,9,8,7.5,8.2,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE237003","human_atrial_fib","Comprehensive 75-sample AF Bulk RNA-seq (2023)",75,"RNA-seq","Atrial Fibrillation",9,9,9,6.5,8.2,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE205741","human_atrial_fib","Human Atrial AF Gene Expression Profiling (2022)",50,"RNA-seq","Atrial Fibrillation",8,9,8,7.5,8.2,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE161032","camk2d_specific","CAMK2D in Acute Myeloid Leukemia",48,"RNA-seq","Leukemia",6,8,6,10,8,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE244414","human_atrial_fib","Sex-specific Atrial Fibrillation Transcriptomics (",40,"RNA-seq","Atrial Fibrillation",9,9,6,7.5,7.7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE163754","human_atrial_fib","Human Left Atrial AF Samples RNA-seq (2021)",45,"RNA-seq","Atrial Fibrillation",8,9,6,7.5,7.7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE179132","human_atrial_fib","Multi-omics Human Left Atrial Appendage (2021)",66,"Multi-omics","Atrial Fibrillation",9,8,8,7,7.7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE160043","mouse_cardiac","Single-cell Transcriptome of Atrial Appendage AF v",42,"Single-cell RNA-seq","Atrial Fibrillation",8,9.5,6,7,7.7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE266652","mouse_cardiac","Heart-specific CAMK2D gene silencing via AAV-base ",30,"Amplicon-seq","CAMK2D Gene Editing",10,7,6,10,7.6,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE226282","human_atrial_fib","CATCH-ME Consortium AF RNA-seq Series",35,"RNA-seq","Atrial Fibrillation",8,9,6,6.5,7.4,"Tier 2 (Good)","Suitable for meta-analysis"
